StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q3.6,Q4.2,Q4.2_4_TEXT,Q4.3,Q4.4,Q4.6_1,Q4.6_2,Q4.6_3,Q4.6_4,Q7.4_First Click,Q7.4_Last Click,Q7.4_Page Submit,Q7.4_Click Count,Q8.5_NPS_GROUP,Q8.5,Q8.6_NPS_GROUP,Q8.6,Q8.7_NPS_GROUP,Q8.7,Q8.8_NPS_GROUP,Q8.8,Q8.10_First Click,Q8.10_Last Click,Q8.10_Page Submit,Q8.10_Click Count,Q9.2_1,Q9.2_2,Q9.2_3,Q9.2_4,Q9.2_5,Q9.2_6,Q9.2_7,Q9.3_NPS_GROUP,Q9.3,Q9.5_First Click,Q9.5_Last Click,Q9.5_Page Submit,Q9.5_Click Count,Q10.4_NPS_GROUP,Q10.4,Q10.5_NPS_GROUP,Q10.5,Q10.6_NPS_GROUP,Q10.6,Q10.7_NPS_GROUP,Q10.7,Q10.8_NPS_GROUP,Q10.8,Q10.9_NPS_GROUP,Q10.9,Q10.11_First Click,Q10.11_Last Click,Q10.11_Page Submit,Q10.11_Click Count,Q11.2,Q14.16_First Click,Q14.16_Last Click,Q14.16_Page Submit,Q14.16_Click Count,Q17.4_First Click,Q17.4_Last Click,Q17.4_Page Submit,Q17.4_Click Count,Q18.5_NPS_GROUP,Q18.5,Q18.6_NPS_GROUP,Q18.6,Q18.7_NPS_GROUP,Q18.7,Q18.8_NPS_GROUP,Q18.8,Q18.10_First Click,Q18.10_Last Click,Q18.10_Page Submit,Q18.10_Click Count,Q19.2_1,Q19.2_2,Q19.2_3,Q19.2_4,Q19.2_5,Q19.2_6,Q19.2_7,Q19.3_NPS_GROUP,Q19.3,Q19.5_First Click,Q19.5_Last Click,Q19.5_Page Submit,Q19.5_Click Count,Q20.4_NPS_GROUP,Q20.4,Q20.5_NPS_GROUP,Q20.5,Q20.6_NPS_GROUP,Q20.6,Q20.7_NPS_GROUP,Q20.7,Q20.8_NPS_GROUP,Q20.8,Q20.9_NPS_GROUP,Q20.9,Q20.11_First Click,Q20.11_Last Click,Q20.11_Page Submit,Q20.11_Click Count,Q21.2,Q23.2_NPS_GROUP,Q23.2,Q23.3_NPS_GROUP,Q23.3,Q23.4_NPS_GROUP,Q23.4,Q23.5_NPS_GROUP,Q23.5,Q23.7_1,Q23.7_2,Q23.8,Q23.10_First Click,Q23.10_Last Click,Q23.10_Page Submit,Q23.10_Click Count,Q_RecaptchaStatus,Q_RecaptchaError,Q_BallotBoxStuffing,Group
2026-02-20 13:48:50,2026-02-20 13:53:03,0,100,252,1,2026-02-20 13:53:04,R_6QJwB3Tw9HwdIdn,anonymous,EN,1.0,,4.0,Test,55.0,2.0,2.0,3.0,2.0,1.0,5.193,5.193,5.241,1.0,1.0,5.0,1.0,4.0,2.0,7.0,1.0,4.0,1.304,7.798,7.852,6.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,8.0,1.556,16.296,16.338,11.0,3.0,10.0,1.0,4.0,2.0,8.0,1.0,4.0,1.0,6.0,1.0,4.0,1.46,9.727,9.759,8.0,Test,1.014,1.014,1.069,1.0,3.12,3.12,3.156,1.0,1.0,4.0,2.0,8.0,1.0,4.0,2.0,7.0,1.043,6.779,6.85,6.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,1.211,13.734,13.815,11.0,1.0,3.0,1.0,6.0,1.0,6.0,1.0,3.0,2.0,8.0,1.0,4.0,0.977,10.024,10.078,9.0,,2.0,8.0,1.0,4.0,2.0,7.0,1.0,6.0,4.0,8.0,Test,0.93,14.827,14.886,8.0,complete,,,1.0
2026-02-25 08:15:58,2026-02-25 08:31:54,0,100,956,1,2026-02-25 08:31:55,R_68Gt2QYLrQSNlxN,anonymous,EN,0.8999999761581421,,2.0,,34.0,7.0,1.0,1.0,1.0,1.0,9.618,361.601,361.604,2.0,1.0,4.0,1.0,4.0,1.0,5.0,1.0,6.0,8.195,16.259,16.266,5.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,7.0,2.994,36.098,36.103,9.0,2.0,8.0,1.0,0.0,2.0,7.0,2.0,7.0,1.0,6.0,3.0,10.0,3.772,22.348,22.35,7.0,"It's just a wall of text. My attention will occasionally drift so, although I am fairly confident with my answers, I may have missed some information unknowingly. I just wanted to be done reading them.",7.275,7.275,7.278,1.0,45.42,45.42,45.422,1.0,1.0,6.0,3.0,10.0,1.0,5.0,2.0,7.0,4.579,16.099,16.102,6.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,8.0,2.428,19.804,19.808,9.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,8.0,1.0,2.0,1.0,5.0,2.285,21.069,21.075,7.0,I definitely think more information could be provided with an additional column that gives a bit more insight.,3.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0,10.0,7.0,,4.074,22.274,22.275,7.0,complete,,,1.0
2026-02-25 10:26:38,2026-02-25 10:54:10,0,100,1651,1,2026-02-25 10:54:12,R_5DSv3xdK5j1FrD8,anonymous,EN,0.8999999761581421,,3.0,,35.0,8.0,1.0,1.0,1.0,2.0,411.279,411.279,411.282,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,11.642,20.843,20.846,5.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,6.0,7.75,35.138,35.141,9.0,2.0,8.0,1.0,5.0,2.0,8.0,1.0,2.0,2.0,7.0,3.0,10.0,4.047,31.824,31.827,7.0,"The T&C are written in legal language that is completely inaccessible to the average user. Most people will not know what the legal terms in the document actually mean, especially when it comes to things like liability, indemnification, class actions, waiving rights to certain legal processes, etc. Even as someone with a language-based graduate degree, it would take me a long time to actually determine the meaning of each specific clause in the agreement and how all the different clauses may interact with each other. As I'm sure is true for most people, when I encounter these types of T&C pop-ups, I usually do not read them at all, or only skim them at a level where full comprehension is not actually possible. I enter most of these engagements assuming that social media sites are collecting any data they can get their hands on and have no qualms about redistributing it to anyone if they think they can profit from it, but there is probably a lot more important information I don't know.",9.93,9.93,9.935,1.0,44.705,44.705,44.708,1.0,1.0,6.0,1.0,6.0,2.0,7.0,2.0,7.0,8.065,17.058,17.061,5.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,7.0,3.25,38.107,38.111,9.0,1.0,4.0,1.0,2.0,1.0,5.0,1.0,6.0,1.0,5.0,1.0,5.0,5.5,29.559,29.561,7.0,"The visual interpretation was a lot easier to process for the topics it covered, but I also felt that a lot of information was left out, especially regarding legal rights/liabilities/risks/waivers. It might be helpful if you could click the displayed images to ""learn more"" and view a more detailed explanation of what the image represents. I think some of the images were self-explanatory (e.g. the minimum user age image), but the meaning of some of the other images (e.g. the account information image) was less obvious, so it wasn't entirely clear what I was agreeing to just based on that visual representation.",3.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0,4.0,6.0,,4.521,30.004,30.007,7.0,complete,,,1.0
2026-02-25 10:41:02,2026-02-25 11:07:05,0,100,1563,1,2026-02-25 11:07:06,R_1UWNinkoOs43Nrg,anonymous,EN,0.8999999761581421,,2.0,,52.0,8.0,1.0,1.0,1.0,1.0,453.925,453.925,453.929,1.0,2.0,8.0,3.0,9.0,2.0,8.0,3.0,10.0,8.798,21.266,21.271,5.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,8.0,20.997,57.048,57.052,9.0,1.0,3.0,1.0,0.0,1.0,5.0,1.0,2.0,1.0,3.0,1.0,6.0,7.422,52.782,52.786,7.0,FYI I am a lawyer so am used to reading terms like these. My annoyance was in what the terms actually were rather than difficulty in interpreting them. I didn't understand your question before about the pace.,28.335,28.335,28.339,1.0,35.645,35.645,35.65,1.0,3.0,10.0,3.0,10.0,1.0,6.0,2.0,8.0,2.389,21.58,21.584,6.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,10.0,4.194,27.888,27.904,9.0,1.0,4.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,3.0,1.0,2.0,8.53,36.153,36.155,8.0,The visual version is less precise. It cannot distinguish between e.g. 'we MAY do x' and 'we WILL do x' or provide nearly as much detail.,3.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0,9.0,6.0,The question above asks me to rate the version that helped me understand the TandC better. But I couldn't complete the question until I also rated the other version. So the question should be changed.,6.656,147.626,147.637,16.0,complete,,,1.0
2026-02-25 11:54:49,2026-02-25 13:31:54,0,100,5825,1,2026-02-25 13:31:55,R_38Rq4J6IKaUqFNv,anonymous,EN,0.8999999761581421,,3.0,,33.0,8.0,1.0,1.0,2.0,2.0,5228.797,5228.797,5228.833,1.0,1.0,6.0,1.0,6.0,1.0,5.0,2.0,8.0,11.79,22.522,22.538,5.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,6.836,48.224,48.228,11.0,2.0,7.0,1.0,3.0,2.0,7.0,1.0,5.0,2.0,8.0,2.0,7.0,4.923,26.612,26.617,7.0,,6.846,6.846,6.85,1.0,24.767,24.767,24.772,1.0,2.0,8.0,2.0,8.0,2.0,7.0,2.0,7.0,5.149,12.148,12.171,5.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,7.0,4.604,24.02,24.024,9.0,1.0,5.0,1.0,4.0,1.0,4.0,2.0,7.0,1.0,4.0,1.0,3.0,2.252,49.584,49.588,8.0,,3.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0,5.0,9.0,,130.959,146.996,147.0,7.0,complete,,,1.0
2026-03-20 15:07:27,2026-03-20 15:27:29,0,100,1201,1,2026-03-20 15:27:29,R_77m2avxQI6HO59h,qr,EN,1.0,4.0,2.0,,26.0,8.0,1.0,1.0,1.0,1.0,95.532,95.532,95.547,1.0,1.0,0.0,1.0,0.0,1.0,5.0,1.0,2.0,3.345,17.713,17.723,6.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,6.0,11.421,47.312,47.322,12.0,2.0,8.0,1.0,1.0,2.0,8.0,1.0,6.0,2.0,8.0,3.0,10.0,3.965,39.443,39.453,7.0,"I understand that putting T&Cs like this makes it easier for people to ignore and agree to whatever is being said. It bothers me, but I feel like there’s no other choice in the matter. Someone needs to hold these companies accountable.",8.68,8.68,8.69,1.0,40.761,44.646,44.677,2.0,3.0,10.0,3.0,10.0,3.0,10.0,3.0,9.0,1.927,10.901,10.914,6.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,9.0,3.423,29.536,29.543,11.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.441,67.654,67.664,10.0,The visual T&C was pretty straightforward without being wordy or taking too much time ,3.0,10.0,3.0,10.0,3.0,10.0,2.0,8.0,1.0,7.0,,13.732,140.161,140.175,19.0,complete,,,1.0
2026-03-23 14:59:31,2026-03-23 15:17:41,0,100,1090,1,2026-03-23 15:17:42,R_64DP1NRXGqNM0dr,anonymous,EN,0.8999999761581421,4.0,3.0,,22.0,6.0,1.0,1.0,1.0,2.0,77.763,421.179,421.185,2.0,2.0,7.0,2.0,7.0,2.0,7.0,3.0,9.0,5.504,15.566,15.571,5.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,7.0,5.712,39.554,39.557,9.0,1.0,6.0,1.0,2.0,1.0,3.0,2.0,7.0,1.0,6.0,2.0,7.0,3.523,25.117,25.123,7.0,,14.362,14.362,14.365,1.0,21.475,43.856,43.861,2.0,2.0,8.0,3.0,10.0,3.0,10.0,3.0,10.0,1.088,14.625,14.647,6.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,7.0,2.4,18.622,18.627,9.0,1.0,3.0,1.0,2.0,2.0,7.0,2.0,7.0,1.0,3.0,1.0,1.0,2.111,17.614,17.622,7.0,,3.0,10.0,3.0,10.0,3.0,10.0,2.0,8.0,8.0,8.0,"I like the additional detail in the text-only version, but I would be a lot less likely to ignore the T+C  on a website that used the visual version (I usually don't read them).",2.601,75.706,75.709,10.0,complete,,,1.0
2026-03-24 15:40:59,2026-03-24 16:03:44,0,100,1364,1,2026-03-24 16:03:45,R_8S7vbJpp5KWUkhb,anonymous,EN,1.0,4.0,2.0,,28.0,7.0,1.0,1.0,2.0,1.0,16.549,16.549,16.555,1.0,3.0,9.0,2.0,8.0,3.0,10.0,3.0,10.0,14.082,27.231,27.236,5.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,8.0,11.493,44.107,44.118,10.0,2.0,8.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,3.0,10.255,44.635,44.647,9.0,,3.938,3.938,3.943,1.0,35.646,35.646,35.654,1.0,3.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0,5.315,11.179,11.186,5.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,9.0,6.044,44.689,44.696,9.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,7.519,57.999,58.008,7.0,"I feel In the previous page asking “How successful were you in accomplishing what you were asked to do?”, your ratings were placed opposite to that of the previous questions. I mean perfect should be place towards the number 10 and failure should be placed towards the number 1. ",1.0,5.0,1.0,2.0,1.0,6.0,1.0,6.0,5.0,10.0,,15.778,62.47,62.48,9.0,complete,,,1.0
2026-03-25 10:25:12,2026-03-25 10:48:09,0,100,1376,1,2026-03-25 10:48:09,R_14MfjReH4ywWccj,anonymous,EN,0.8999999761581421,4.0,1.0,,52.0,8.0,1.0,1.0,1.0,1.0,109.657,164.151,164.153,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,6.0,17.551,65.43,65.441,9.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,9.0,7.751,140.331,140.333,12.0,3.0,9.0,3.0,9.0,3.0,9.0,2.0,8.0,2.0,8.0,3.0,10.0,10.327,63.385,63.388,14.0,,15.521,17.799,17.801,2.0,2.23,50.498,50.5,4.0,2.0,7.0,2.0,8.0,3.0,9.0,3.0,9.0,4.524,33.363,33.366,8.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0,9.0,4.488,104.371,104.372,12.0,1.0,4.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,5.0,6.533,60.836,60.839,13.0,,2.0,7.0,2.0,7.0,3.0,9.0,2.0,8.0,3.0,7.0,,11.265,64.868,64.87,13.0,complete,,,1.0
2026-03-25 14:38:56,2026-03-31 14:53:00,0,100,519243,1,2026-03-31 14:53:01,R_6fwaxfVv91F4Rjt,anonymous,EN,1.0,4.0,1.0,,29.0,8.0,1.0,1.0,1.0,1.0,4.035,4.035,4.047,1.0,2.0,8.0,1.0,5.0,1.0,5.0,1.0,5.0,6.509,23.284,23.302,5.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,7.0,4.075,43.579,43.597,11.0,2.0,8.0,1.0,3.0,1.0,5.0,2.0,8.0,1.0,6.0,1.0,6.0,6.574,25.369,25.393,10.0,,2.843,2.843,2.856,1.0,2.011,2.011,2.029,1.0,2.0,7.0,3.0,9.0,2.0,8.0,2.0,7.0,1.838,8.923,8.944,6.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,9.0,1.983,28.845,28.859,13.0,2.0,8.0,2.0,7.0,2.0,8.0,2.0,8.0,2.0,8.0,2.0,7.0,1.376,6.835,6.851,7.0,,2.0,8.0,2.0,7.0,2.0,8.0,2.0,7.0,4.0,7.0,,2.909,11.181,11.193,9.0,complete,,,1.0
