StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q3.6,Q4.2,Q4.2_4_TEXT,Q4.3,Q4.4,Q4.6_1,Q4.6_2,Q4.6_3,Q4.6_4,Q7.4_First Click,Q7.4_Last Click,Q7.4_Page Submit,Q7.4_Click Count,Q8.5_NPS_GROUP,Q8.5,Q8.6_NPS_GROUP,Q8.6,Q8.7_NPS_GROUP,Q8.7,Q8.8_NPS_GROUP,Q8.8,Q8.10_First Click,Q8.10_Last Click,Q8.10_Page Submit,Q8.10_Click Count,Q9.2_1,Q9.2_2,Q9.2_3,Q9.2_4,Q9.2_5,Q9.2_6,Q9.2_7,Q9.3_NPS_GROUP,Q9.3,Q9.5_First Click,Q9.5_Last Click,Q9.5_Page Submit,Q9.5_Click Count,Q10.4_NPS_GROUP,Q10.4,Q10.5_NPS_GROUP,Q10.5,Q10.6_NPS_GROUP,Q10.6,Q10.7_NPS_GROUP,Q10.7,Q10.8_NPS_GROUP,Q10.8,Q10.9_NPS_GROUP,Q10.9,Q10.11_First Click,Q10.11_Last Click,Q10.11_Page Submit,Q10.11_Click Count,Q11.2,Q14.16_First Click,Q14.16_Last Click,Q14.16_Page Submit,Q14.16_Click Count,Q17.4_First Click,Q17.4_Last Click,Q17.4_Page Submit,Q17.4_Click Count,Q18.5_NPS_GROUP,Q18.5,Q18.6_NPS_GROUP,Q18.6,Q18.7_NPS_GROUP,Q18.7,Q18.8_NPS_GROUP,Q18.8,Q18.10_First Click,Q18.10_Last Click,Q18.10_Page Submit,Q18.10_Click Count,Q19.2_1,Q19.2_2,Q19.2_3,Q19.2_4,Q19.2_5,Q19.2_6,Q19.2_7,Q19.3_NPS_GROUP,Q19.3,Q19.5_First Click,Q19.5_Last Click,Q19.5_Page Submit,Q19.5_Click Count,Q20.4_NPS_GROUP,Q20.4,Q20.5_NPS_GROUP,Q20.5,Q20.6_NPS_GROUP,Q20.6,Q20.7_NPS_GROUP,Q20.7,Q20.8_NPS_GROUP,Q20.8,Q20.9_NPS_GROUP,Q20.9,Q20.11_First Click,Q20.11_Last Click,Q20.11_Page Submit,Q20.11_Click Count,Q21.2,Q23.2_NPS_GROUP,Q23.2,Q23.3_NPS_GROUP,Q23.3,Q23.4_NPS_GROUP,Q23.4,Q23.5_NPS_GROUP,Q23.5,Q23.7_1,Q23.7_2,Q23.8,Q23.10_First Click,Q23.10_Last Click,Q23.10_Page Submit,Q23.10_Click Count,Q_RecaptchaStatus,Q_RecaptchaError,Q_BallotBoxStuffing,Group
2026-02-20 13:48:50,2026-02-20 13:53:03,0,100,252,1,2026-02-20 13:53:04,R_6QJwB3Tw9HwdIdn,anonymous,EN,1.0,,4.0,Test,55.0,2.0,2.0,3.0,2.0,1.0,5.193,5.193,5.241,1.0,1.0,5.0,1.0,4.0,2.0,7.0,1.0,4.0,1.304,7.798,7.852,6.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,8.0,1.556,16.296,16.338,11.0,3.0,10.0,1.0,4.0,2.0,8.0,1.0,4.0,1.0,6.0,1.0,4.0,1.46,9.727,9.759,8.0,Test,1.014,1.014,1.069,1.0,3.12,3.12,3.156,1.0,1.0,4.0,2.0,8.0,1.0,4.0,2.0,7.0,1.043,6.779,6.85,6.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,1.211,13.734,13.815,11.0,1.0,3.0,1.0,6.0,1.0,6.0,1.0,3.0,2.0,8.0,1.0,4.0,0.977,10.024,10.078,9.0,,2.0,8.0,1.0,4.0,2.0,7.0,1.0,6.0,4.0,8.0,Test,0.93,14.827,14.886,8.0,complete,,,1.0
2026-02-25 08:06:57,2026-02-25 08:27:27,0,100,1230,1,2026-02-25 08:27:28,R_3ietwa5NM9E5cbt,anonymous,EN,0.8999999761581421,,2.0,,37.0,7.0,1.0,1.0,1.0,1.0,128.351,128.351,128.356,1.0,1.0,4.0,1.0,2.0,1.0,6.0,2.0,7.0,6.014,21.481,21.485,5.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,8.0,2.321,23.248,23.252,9.0,1.0,4.0,1.0,1.0,2.0,8.0,2.0,8.0,1.0,6.0,1.0,4.0,9.771,36.926,36.931,8.0,"I thought it would be harder, but actually I am more used to the format of these and can scan quite quickly for the important parts",10.926,10.926,10.93,1.0,43.916,43.916,43.92,1.0,2.0,7.0,2.0,7.0,1.0,4.0,1.0,6.0,3.703,24.452,24.457,6.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,7.0,6.168,63.878,63.882,11.0,1.0,4.0,1.0,2.0,1.0,5.0,1.0,3.0,1.0,4.0,1.0,3.0,5.204,49.591,49.6,7.0,"I kind of wished there was some text so I didn't have to remember some of the symbols. Just an accompanying sentence for some of the less widely used ones. (eg Age not a problem, how biased is less ""normal"")",1.0,6.0,1.0,4.0,3.0,9.0,3.0,10.0,8.0,7.0,"I think with a little bit more familiarity the symbols would be easier than the text. As it stands, I'm actually more used to the text format and it took a bit more thinking to remember the exact details with the picture. Especially where there was no clear good/bad with the symbol. When there were lots of symbols I also found it harder to remember which ones had been there, like the list of things they would share - I couldn't remember if photos were in the list, but could recall the location symbol more easily. ",9.636,379.451,379.455,9.0,complete,,,2.0
2026-02-25 08:15:58,2026-02-25 08:31:54,0,100,956,1,2026-02-25 08:31:55,R_68Gt2QYLrQSNlxN,anonymous,EN,0.8999999761581421,,2.0,,34.0,7.0,1.0,1.0,1.0,1.0,9.618,361.601,361.604,2.0,1.0,4.0,1.0,4.0,1.0,5.0,1.0,6.0,8.195,16.259,16.266,5.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,7.0,2.994,36.098,36.103,9.0,2.0,8.0,1.0,0.0,2.0,7.0,2.0,7.0,1.0,6.0,3.0,10.0,3.772,22.348,22.35,7.0,"It's just a wall of text. My attention will occasionally drift so, although I am fairly confident with my answers, I may have missed some information unknowingly. I just wanted to be done reading them.",7.275,7.275,7.278,1.0,45.42,45.42,45.422,1.0,1.0,6.0,3.0,10.0,1.0,5.0,2.0,7.0,4.579,16.099,16.102,6.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,8.0,2.428,19.804,19.808,9.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,8.0,1.0,2.0,1.0,5.0,2.285,21.069,21.075,7.0,I definitely think more information could be provided with an additional column that gives a bit more insight.,3.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0,10.0,7.0,,4.074,22.274,22.275,7.0,complete,,,1.0
2026-02-25 09:28:10,2026-02-25 09:43:15,0,100,905,1,2026-02-25 09:43:16,R_1YPUIU5sz90F8Ln,anonymous,EN,1.0,,2.0,,40.0,7.0,1.0,1.0,1.0,1.0,197.5,197.5,197.503,1.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,2.725,11.044,11.046,5.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,5.0,2.619,30.052,30.054,10.0,1.0,6.0,1.0,6.0,2.0,7.0,1.0,5.0,1.0,6.0,1.0,6.0,3.973,19.269,19.271,7.0,,8.852,8.852,8.853,1.0,32.443,32.443,32.445,1.0,1.0,4.0,1.0,5.0,1.0,5.0,1.0,5.0,7.857,20.137,20.138,5.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,6.0,7.448,38.119,38.121,9.0,1.0,5.0,1.0,4.0,1.0,6.0,1.0,5.0,1.0,5.0,1.0,6.0,7.625,30.545,30.546,8.0,,2.0,8.0,2.0,8.0,2.0,8.0,2.0,8.0,5.0,5.0,Visual terms and conditions lacked depth to it's information whereas text only was far to wordy which made it harder to interpret ,15.034,113.114,113.116,11.0,complete,,,2.0
2026-02-25 08:48:34,2026-02-25 10:30:21,0,100,6106,1,2026-02-25 10:30:21,R_1CEcvAZljulHlib,anonymous,EN,0.8999999761581421,,2.0,,31.0,8.0,1.0,1.0,1.0,1.0,113.936,114.264,114.281,2.0,2.0,7.0,1.0,3.0,1.0,4.0,1.0,6.0,5.84,15.619,15.622,5.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,6.0,65.024,112.483,112.487,9.0,3.0,9.0,1.0,0.0,3.0,9.0,1.0,3.0,2.0,8.0,1.0,1.0,4.308,25.563,25.576,8.0,,12.719,12.719,12.721,1.0,4.625,29.424,29.427,2.0,2.0,7.0,3.0,10.0,2.0,8.0,2.0,8.0,11.26,28.767,28.769,6.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,7.0,10.041,259.399,259.401,9.0,2.0,7.0,1.0,0.0,1.0,5.0,1.0,3.0,1.0,6.0,1.0,2.0,7.337,32.739,32.743,7.0,,3.0,9.0,3.0,9.0,3.0,9.0,3.0,9.0,8.0,7.0,,9.563,56.68,56.682,7.0,complete,,,2.0
2026-02-25 10:26:38,2026-02-25 10:54:10,0,100,1651,1,2026-02-25 10:54:12,R_5DSv3xdK5j1FrD8,anonymous,EN,0.8999999761581421,,3.0,,35.0,8.0,1.0,1.0,1.0,2.0,411.279,411.279,411.282,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,11.642,20.843,20.846,5.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,6.0,7.75,35.138,35.141,9.0,2.0,8.0,1.0,5.0,2.0,8.0,1.0,2.0,2.0,7.0,3.0,10.0,4.047,31.824,31.827,7.0,"The T&C are written in legal language that is completely inaccessible to the average user. Most people will not know what the legal terms in the document actually mean, especially when it comes to things like liability, indemnification, class actions, waiving rights to certain legal processes, etc. Even as someone with a language-based graduate degree, it would take me a long time to actually determine the meaning of each specific clause in the agreement and how all the different clauses may interact with each other. As I'm sure is true for most people, when I encounter these types of T&C pop-ups, I usually do not read them at all, or only skim them at a level where full comprehension is not actually possible. I enter most of these engagements assuming that social media sites are collecting any data they can get their hands on and have no qualms about redistributing it to anyone if they think they can profit from it, but there is probably a lot more important information I don't know.",9.93,9.93,9.935,1.0,44.705,44.705,44.708,1.0,1.0,6.0,1.0,6.0,2.0,7.0,2.0,7.0,8.065,17.058,17.061,5.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,7.0,3.25,38.107,38.111,9.0,1.0,4.0,1.0,2.0,1.0,5.0,1.0,6.0,1.0,5.0,1.0,5.0,5.5,29.559,29.561,7.0,"The visual interpretation was a lot easier to process for the topics it covered, but I also felt that a lot of information was left out, especially regarding legal rights/liabilities/risks/waivers. It might be helpful if you could click the displayed images to ""learn more"" and view a more detailed explanation of what the image represents. I think some of the images were self-explanatory (e.g. the minimum user age image), but the meaning of some of the other images (e.g. the account information image) was less obvious, so it wasn't entirely clear what I was agreeing to just based on that visual representation.",3.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0,4.0,6.0,,4.521,30.004,30.007,7.0,complete,,,1.0
2026-02-25 10:41:02,2026-02-25 11:07:05,0,100,1563,1,2026-02-25 11:07:06,R_1UWNinkoOs43Nrg,anonymous,EN,0.8999999761581421,,2.0,,52.0,8.0,1.0,1.0,1.0,1.0,453.925,453.925,453.929,1.0,2.0,8.0,3.0,9.0,2.0,8.0,3.0,10.0,8.798,21.266,21.271,5.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,8.0,20.997,57.048,57.052,9.0,1.0,3.0,1.0,0.0,1.0,5.0,1.0,2.0,1.0,3.0,1.0,6.0,7.422,52.782,52.786,7.0,FYI I am a lawyer so am used to reading terms like these. My annoyance was in what the terms actually were rather than difficulty in interpreting them. I didn't understand your question before about the pace.,28.335,28.335,28.339,1.0,35.645,35.645,35.65,1.0,3.0,10.0,3.0,10.0,1.0,6.0,2.0,8.0,2.389,21.58,21.584,6.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,10.0,4.194,27.888,27.904,9.0,1.0,4.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,3.0,1.0,2.0,8.53,36.153,36.155,8.0,The visual version is less precise. It cannot distinguish between e.g. 'we MAY do x' and 'we WILL do x' or provide nearly as much detail.,3.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0,9.0,6.0,The question above asks me to rate the version that helped me understand the TandC better. But I couldn't complete the question until I also rated the other version. So the question should be changed.,6.656,147.626,147.637,16.0,complete,,,1.0
2026-02-25 11:37:46,2026-02-25 12:25:55,0,100,2888,1,2026-02-25 12:25:56,R_3FQ0wak1OoPDFt5,anonymous,EN,1.0,,2.0,,55.0,8.0,1.0,1.0,1.0,1.0,140.053,140.053,140.07,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,7.293,26.517,26.525,5.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,8.0,7.89,36.328,36.335,9.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,6.0,4.642,21.568,21.583,7.0,I believe the majority of social media applications use similar language. It is boring and sometimes perplexing. I would imagine that many people don’t appreciate how much they hand over when they sign these agreements because the legalese is disguised.,26.123,26.123,26.14,1.0,337.92,337.92,337.931,1.0,3.0,9.0,3.0,9.0,3.0,9.0,3.0,9.0,11.962,29.899,29.916,8.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,8.0,7.0,79.503,79.51,10.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.393,28.787,28.796,7.0,Observation: some spelling mistakes in the first visual,3.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0,"The Visual Terms and Conditions version is much clearer and shows that the developers really want users to understand the content.More honest, I suppose.In today’s world that is so important. ",12.884,336.737,336.754,17.0,complete,,,2.0
2026-02-25 11:54:49,2026-02-25 13:31:54,0,100,5825,1,2026-02-25 13:31:55,R_38Rq4J6IKaUqFNv,anonymous,EN,0.8999999761581421,,3.0,,33.0,8.0,1.0,1.0,2.0,2.0,5228.797,5228.797,5228.833,1.0,1.0,6.0,1.0,6.0,1.0,5.0,2.0,8.0,11.79,22.522,22.538,5.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,6.836,48.224,48.228,11.0,2.0,7.0,1.0,3.0,2.0,7.0,1.0,5.0,2.0,8.0,2.0,7.0,4.923,26.612,26.617,7.0,,6.846,6.846,6.85,1.0,24.767,24.767,24.772,1.0,2.0,8.0,2.0,8.0,2.0,7.0,2.0,7.0,5.149,12.148,12.171,5.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,7.0,4.604,24.02,24.024,9.0,1.0,5.0,1.0,4.0,1.0,4.0,2.0,7.0,1.0,4.0,1.0,3.0,2.252,49.584,49.588,8.0,,3.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0,5.0,9.0,,130.959,146.996,147.0,7.0,complete,,,1.0
2026-02-25 09:39:24,2026-02-25 16:50:10,0,100,25845,1,2026-02-25 16:50:11,R_7YXP4LFIfA7bEiO,anonymous,EN,0.8999999761581421,,2.0,,40.0,8.0,1.0,1.0,1.0,1.0,70.333,486.577,486.59,2.0,2.0,8.0,2.0,7.0,2.0,7.0,3.0,9.0,7.297,22.348,22.354,5.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,9.0,3.063,39.961,39.972,9.0,2.0,7.0,1.0,1.0,1.0,0.0,2.0,8.0,2.0,8.0,1.0,3.0,6.258,39.422,39.427,7.0,"I thought it was funny that ""Force Majeure"" was defined as including ""acts of God"", I don't know what that means, maybe ""acts of God"" should be defined too. ",13.758,13.758,13.779,1.0,41.301,41.301,41.32,1.0,1.0,5.0,2.0,7.0,1.0,1.0,1.0,1.0,10.131,54.04,54.058,6.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,8.0,15.152,68.161,68.168,10.0,1.0,6.0,1.0,2.0,2.0,8.0,2.0,7.0,2.0,7.0,1.0,5.0,26.334,80.853,80.863,8.0,,3.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0,10.0,7.0,"The information presented in this section is not clear. It states ""Please share your overall experience participating in this study, along with any observations and concerns."" But the questions seem to refer to the fictitious information used to asses our experience. It's quite confusing. ",44.949,183.816,183.821,20.0,complete,,,2.0
